Character,Series,Release Date,Released?
Tony Stark,Iron Man,"4/23/2022, 12:30 PM UTC",
Yotsugi Ononoki,Nisemonogatari,"4/23/2022, 12:50 PM UTC",
Catherine,Fire Emblem: Three Houses,"4/23/2022, 1:00 PM UTC",
Aether,Genshin Impact,"4/23/2022, 1:20 PM UTC",
Kanji Koganegawa,Haikyuu!! Second Season,"4/23/2022, 1:30 PM UTC",
Higoromo Hibiki,Date A Bullet: Dead or Bullet,"4/23/2022, 1:40 PM UTC",
Nausicaa,Nausicaa of the Valley of the Wind,"4/23/2022, 1:50 PM UTC",
Yuzuriha Ogawa,Dr. Stone,"4/23/2022, 2:00 PM UTC",
Rudy Gillen,Monster,"4/23/2022, 2:10 PM UTC",
Ako Atarashi,Saki: Episode of Side A,"4/23/2022, 2:20 PM UTC",
El Condor Pasa,Uma Musume: Pretty Derby,"4/23/2022, 2:30 PM UTC",
Chihaya Takemura,Strawberry Panic,"4/23/2022, 2:40 PM UTC",
Monokuma,Danganronpa: The Animation,"4/23/2022, 2:50 PM UTC",
Yuusuke Aoi,The iDOLM@STER SideM,"4/23/2022, 3:00 PM UTC",
Edward Elric,Fullmetal Alchemist,"4/23/2022, 3:10 PM UTC",
Aliza,Granblue Fantasy the Animation Season 2,"4/23/2022, 3:30 PM UTC",
Vildred Dieren,Epic Seven,"4/23/2022, 3:40 PM UTC",
Rin Matsuoka,Free! - Iwatobi Swim Club,"4/23/2022, 3:50 PM UTC",
Youko Hinageshi,Ride Your Wave,"4/23/2022, 4:10 PM UTC",
Reita Toritsuka,The Disastrous Life of Saiki K.,"4/23/2022, 4:20 PM UTC",
Erinys,Fire Emblem: Genealogy of the Holy War,"4/23/2022, 4:30 PM UTC",
Nagisa Ran,Ensemble Stars!,"4/23/2022, 4:40 PM UTC",
Shin Ichijou,King of Prism by Pretty Rhythm,"4/23/2022, 4:50 PM UTC",
Kogure Kiminobu,Slam Dunk,"4/23/2022, 5:00 PM UTC",
Kiku,One Piece,"4/23/2022, 5:10 PM UTC",
Takashi Toono,Yarichin Bitch-bu,"4/23/2022, 5:20 PM UTC",
Yunan,Magi: The Kingdom of Magic,"4/23/2022, 5:30 PM UTC",
Luciana Estevez,Blood Blockade Battlefront & Beyond,"4/23/2022, 5:50 PM UTC",
Sora Mizusawa,Love is Like a Cocktail,"4/23/2022, 6:00 PM UTC",
Maru,xxxHOLiC,"4/23/2022, 6:10 PM UTC",
Igris,Solo Leveling,"4/23/2022, 6:20 PM UTC",
Tsubame Sanjou,Rurouni Kenshin,"4/23/2022, 6:30 PM UTC",
Ayame Fujieda,Sakura Wars TV,"4/23/2022, 6:40 PM UTC",
Ryuk,Death Note,"4/23/2022, 6:50 PM UTC",
Kaguya Yamai,Date a Live II,"4/23/2022, 7:00 PM UTC",
Koichi Ishizaki,Brand New Animal,"4/23/2022, 7:30 PM UTC",
Sora Harukawa,Ensemble Stars!,"4/23/2022, 7:40 PM UTC",
Gillesde Rais,Vlad Love,"4/23/2022, 8:00 PM UTC",
Sousuke Aizen,Bleach,"4/23/2022, 8:10 PM UTC",
Goro Akechi,Persona 5 the Animation,"4/23/2022, 8:20 PM UTC",
Tomoe Inui,How a Realist Hero Rebuilt the Kingdom,"4/23/2022, 8:30 PM UTC",
Senel Coolidge,Tales of Legendia,"4/23/2022, 8:40 PM UTC",
Shiho Ichimura,ODDTAXI,"4/23/2022, 8:50 PM UTC",
Madame Du Barry,The Rose of Versailles,"4/23/2022, 9:00 PM UTC",
Albert de Morcerf,Gankutsuou: The Count of Monte Cristo,"4/23/2022, 9:10 PM UTC",
Jakob,Fire Emblem Fates,"4/23/2022, 9:20 PM UTC",
Kineshi Hairo,The Disastrous Life of Saiki K.,"4/23/2022, 9:30 PM UTC",
Shion Toumori,Strawberry Panic,"4/23/2022, 9:40 PM UTC",
Mika Harima,Durarara!!,"4/23/2022, 9:50 PM UTC",
Kouki Kariya,The World Ends with You,"4/23/2022, 10:00 PM UTC",
Sakura,Urusei Yatsura,"4/23/2022, 10:30 PM UTC",
Neptune,Hyperdimension Neptunia,"4/23/2022, 10:40 PM UTC",
Kei,Akira,"4/23/2022, 10:50 PM UTC",
Constance von Nuvelle,Fire Emblem: Three Houses,"4/23/2022, 11:00 PM UTC",
Rivalz Cardemonde,Code Geass: Lelouch of the Rebellion,"4/23/2022, 11:10 PM UTC",
Aoba Suzukaze,New Game!,"4/23/2022, 11:20 PM UTC",
Yuusuke Nanahara,Saezuru Tori wa Habatakanai: The Clouds Gather,"4/23/2022, 11:30 PM UTC",
Shuu Itsuki,Ensemble Stars!,"4/23/2022, 11:40 PM UTC",
Syaoran Li,Cardcaptor Sakura,"4/23/2022, 11:50 PM UTC",
Anko Uehara,Great Teacher Onizuka,"4/24/2022, 12:00 AM UTC",
Reiji Yano,"DANKIRA!!! - Boys, be DANCING!","4/24/2022, 12:10 AM UTC",
Naruko Anjou,Anohana: The Flower We Saw That Day,"4/24/2022, 12:20 AM UTC",
Raiden Shuga,86 EIGHTY-SIX,"4/24/2022, 12:40 AM UTC",
Chieri Sono,AKB0048,"4/24/2022, 12:50 AM UTC",
Garr Kelvin,Tales of Destiny,"4/24/2022, 1:00 AM UTC",
Kobachi Osaragi,Kaguya-sama: Love Is War,"4/24/2022, 1:10 AM UTC",
Mugen,Samurai Champloo,"4/24/2022, 1:30 AM UTC",
Kobayashi Mari,Kamaitachi no Yoru,"4/24/2022, 1:40 AM UTC",
Lithuania,Hetalia: Axis Powers,"4/24/2022, 1:50 AM UTC",
Gary Oak,Pokémon,"4/24/2022, 2:00 AM UTC",
Horita,Vlad Love,"4/24/2022, 2:10 AM UTC",
Momiji Sohma,Fruits Basket,"4/24/2022, 2:30 AM UTC",
Maika Sakuranomiya,Blend S,"4/24/2022, 2:50 AM UTC",
Tenebria,Epic Seven,"4/24/2022, 3:10 AM UTC",
Langa Hasegawa,SK8 the Infinity,"4/24/2022, 3:20 AM UTC",
Doraemon,Doraemon (1979),"4/24/2022, 3:30 AM UTC",
Harpy,Closers,"4/24/2022, 3:40 AM UTC",
Morihito Arihara,TsukiPro the Animation,"4/24/2022, 3:50 AM UTC",
Kyoko Honda,Fruits Basket,"4/24/2022, 4:00 AM UTC",
Kale,Dragon Ball Super,"4/24/2022, 4:10 AM UTC",
Vinegar Doppio,JoJo's Bizarre Adventure: Golden Wind,"4/24/2022, 4:20 AM UTC",
Isami Oomiya,Kiniro Mosaic,"4/24/2022, 4:30 AM UTC",
Mirin,Granblue Fantasy,"4/24/2022, 4:40 AM UTC",
Eli Ayase,Love Live! School Idol Project,"4/24/2022, 4:50 AM UTC",
Lisesharte Atismata,Undefeated Bahamut Chronicle,"4/24/2022, 5:10 AM UTC",
Demon Lord,The Dungeon of Black Company,"4/24/2022, 5:20 AM UTC",
Ruka Azumi,Children of the Sea,"4/24/2022, 5:30 AM UTC",
Sano Yasuyoshi,Air Gear,"4/24/2022, 5:40 AM UTC",
Misery,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","4/24/2022, 5:50 AM UTC",
Ahbmad Saluja,Magi: The Kingdom of Magic,"4/24/2022, 6:00 AM UTC",
Rangiku Matsumoto,Bleach,"4/24/2022, 6:10 AM UTC",
Gran Grandma,Brand New Animal,"4/24/2022, 6:20 AM UTC",
Rina Shakando,The Ryuo's Work Is Never Done!,"4/24/2022, 6:30 AM UTC",
Soubiki Noho,#Compass,"4/24/2022, 6:40 AM UTC",
Gilgamesh (Caster),Fate/Grand Order,"4/24/2022, 6:50 AM UTC",
Takashi Komuro,Highschool of the Dead,"4/24/2022, 7:00 AM UTC",
Kyoya Asahina,Yumeiro Cast,"4/24/2022, 7:20 AM UTC",
Rosine,Granblue Fantasy,"4/24/2022, 7:30 AM UTC",
Alvin,Tales of Xillia,"4/24/2022, 7:40 AM UTC",
Kaede Ichinose,Aikatsu!,"4/24/2022, 7:50 AM UTC",
Spinnah,Granblue Fantasy,"4/24/2022, 8:00 AM UTC",
Yozora Kasumi,Aikatsu Stars!,"4/24/2022, 8:10 AM UTC",
Lisa,Fire Force,"4/24/2022, 8:20 AM UTC",
Tomoyo Sakagami,Clannad,"4/24/2022, 8:30 AM UTC",
Konoha,Mekakucity Actors,"4/24/2022, 8:40 AM UTC",
Hyoe,Magical Girl Ore,"4/24/2022, 8:50 AM UTC",
Kazuha Toyama,Detective Conan,"4/24/2022, 9:00 AM UTC",
Anya Forger,Spy x Family,"4/24/2022, 9:10 AM UTC",
Makoto Takiya,Miss Kobayashi's Dragon Maid,"4/24/2022, 9:20 AM UTC",
Makoto Naegi,Danganronpa: The Animation,"4/24/2022, 9:40 AM UTC",
Eren Jaeger,Attack on Titan,"4/24/2022, 9:50 AM UTC",
Yaya Nanto,Strawberry Panic,"4/24/2022, 10:00 AM UTC",
Sex,Gilgamesh,"4/24/2022, 10:10 AM UTC",
Yashiro,Saezuru Tori wa Habatakanai: The Clouds Gather,"4/24/2022, 10:20 AM UTC",
Natsume Sakasaki,Ensemble Stars!,"4/24/2022, 10:30 AM UTC",
Makoto Shishio,Rurouni Kenshin,"4/24/2022, 10:40 AM UTC",
Jirou Yamashita,The iDOLM@STER SideM,"4/24/2022, 10:50 AM UTC",
Seiya Kori,Talentless Nana,"4/24/2022, 11:00 AM UTC",
Towa Higurashi,Yashahime: Princess Half-Demon,"4/24/2022, 11:10 AM UTC",
Featherine Augustus Aurora,Umineko: When They Cry,"4/24/2022, 11:20 AM UTC",
Siesta 00,Umineko: When They Cry,"4/24/2022, 11:30 AM UTC",
Chizuru Maki,DREAM!ing,"4/24/2022, 11:50 AM UTC",
Maho Hiyajou,Steins;Gate 0,"4/24/2022, 12:00 PM UTC",
Akane Aoi,Toilet-Bound Hanako-kun,"4/24/2022, 12:10 PM UTC",
Mimi Tachikawa,Digimon Adventure,"4/24/2022, 12:20 PM UTC",
Ann Takamaki,Persona 5 the Animation,"4/24/2022, 12:30 PM UTC",
Yusuke Kitagawa,Persona 5 the Animation -THE DAY BREAKERS-,"4/24/2022, 12:40 PM UTC",
Natsu Dragneel,Fairy Tail,"4/24/2022, 12:50 PM UTC",
Black Panther,Marvel Disk Wars: The Avengers,"4/24/2022, 1:00 PM UTC",
Rias Gremory,High School DxD,"4/24/2022, 1:10 PM UTC",
Tetora Nagumo,Ensemble Stars!,"4/24/2022, 1:20 PM UTC",
Bell Cranel,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"4/24/2022, 1:30 PM UTC",
Karen Araragi,Bakemonogatari,"4/24/2022, 1:40 PM UTC",
Chise Hatori,The Ancient Magus' Bride: Those Awaiting a Star,"4/24/2022, 1:50 PM UTC",
Tokoyami Towa,Hololive: Holo no Graffiti,"4/24/2022, 2:10 PM UTC",
Melissa Horner,Brand New Animal,"4/24/2022, 2:20 PM UTC",
Shannon,Umineko: When They Cry,"4/24/2022, 2:30 PM UTC",
Juzo Kumiya,Jujutsu Kaisen,"4/24/2022, 2:40 PM UTC",
Chelsea Torn,Tales of Destiny,"4/24/2022, 2:50 PM UTC",
Monshiro,Psychedelica of the Black Butterfly,"4/24/2022, 3:00 PM UTC",
Kazuma Mikura,Air Gear,"4/24/2022, 3:10 PM UTC",
Murasaki Shikibu,Fate/Grand Order,"4/24/2022, 3:30 PM UTC",
Heinrich Lunge,Monster,"4/24/2022, 3:40 PM UTC",
Yuri,Doki Doki Literature Club!,"4/24/2022, 3:50 PM UTC",
Serene Hozumi,Mother of the Goddess' Dormitory,"4/24/2022, 4:00 PM UTC",
Chiyo Tsukidate,Strawberry Panic,"4/24/2022, 4:20 PM UTC",
Rosamia,Granblue Fantasy,"4/24/2022, 4:30 PM UTC",
Uruha Rushia,Hololive: Holo no Graffiti,"4/24/2022, 4:40 PM UTC",
Nina Doujima,Aikatsu! 4,"4/24/2022, 4:50 PM UTC",
Suigintou,Rozen Maiden,"4/24/2022, 5:00 PM UTC",
Markus,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","4/24/2022, 5:20 PM UTC",
Senpai,"The Night Is Short, Walk on Girl","4/24/2022, 5:30 PM UTC",
Xiao Jie,Darker than Black: Kuro no Keiyakusha Gaiden,"4/24/2022, 5:40 PM UTC",
Sailor Aluminum Seiren,Sailor Moon Sailor Stars,"4/24/2022, 5:50 PM UTC",
Yamato,Psychedelica of the Black Butterfly,"4/24/2022, 6:00 PM UTC",
Chiba Atsuko,Paprika,"4/24/2022, 6:10 PM UTC",
Megumi Tadokoro,Food Wars! Shokugeki no Souma,"4/24/2022, 6:20 PM UTC",
Longueville,The Familiar of Zero,"4/24/2022, 6:40 PM UTC",
Twenty-Fifth Baam,Tower of God,"4/24/2022, 6:50 PM UTC",
Astraea,Fate/Grand Order,"4/24/2022, 7:00 PM UTC",
Taka Radjiman,Nijisanji ID,"4/24/2022, 7:10 PM UTC",
Yang Guifei,Fate/Grand Order,"4/24/2022, 7:20 PM UTC",
Ako Udagawa,BanG Dream!,"4/24/2022, 7:30 PM UTC",
Nepgear,Hyperdimension Neptunia,"4/24/2022, 7:40 PM UTC",
Gohei Hiruma,Rurouni Kenshin,"4/24/2022, 7:50 PM UTC",
Kang Tae-Shik,Solo Leveling,"4/24/2022, 8:10 PM UTC",
Jin Sagami,Ensemble Stars!,"4/24/2022, 8:20 PM UTC",
Fuyuki Yamamoto,ODDTAXI,"4/24/2022, 8:30 PM UTC",
Rajdhani,Sonny Boy,"4/24/2022, 8:40 PM UTC",
Illia Animi,Tales of Innocence,"4/24/2022, 9:00 PM UTC",
Tifa Lockhart,Final Fantasy VII,"4/24/2022, 9:10 PM UTC",
Nona,Death Parade,"4/24/2022, 9:20 PM UTC",
Catria,Fire Emblem: Shadow Dragon and the Blade of Light,"4/24/2022, 9:30 PM UTC",
Obi,Snow White with the Red Hair,"4/24/2022, 9:40 PM UTC",
Julius Will Kresnik,Tales of Xillia 2,"4/24/2022, 9:50 PM UTC",
Kinji Ninomiya,The Dungeon of Black Company,"4/24/2022, 10:00 PM UTC",
2B,NieR: Automata,"4/24/2022, 10:10 PM UTC",
Misaki Okuzawa,BanG Dream!,"4/24/2022, 10:20 PM UTC",
Touka Kirishima,Tokyo Ghoul,"4/24/2022, 10:30 PM UTC",
AZKi,Hololive: Holo no Graffiti,"4/24/2022, 10:50 PM UTC",
Kazahaya Kudo,xxxHOLiC,"4/24/2022, 11:10 PM UTC",
Kodama,Sonny Boy,"4/24/2022, 11:20 PM UTC",
Nana Hiiragi,Talentless Nana,"4/24/2022, 11:30 PM UTC",
Mami,River City Girls,"4/24/2022, 11:40 PM UTC",
Esra,Magi: Adventure of Sinbad OVA,"4/24/2022, 11:50 PM UTC",
Demiurge,Overlord,"4/25/2022, 12:00 AM UTC",
Eikichi Onizuka,Great Teacher Onizuka,"4/25/2022, 12:10 AM UTC",
Misha Necron,Maou Gakuin no Futekigousha,"4/25/2022, 12:20 AM UTC",
Ririka,#Compass,"4/25/2022, 12:30 AM UTC",
Sayuri Haruno,BONJOUR Sweet Love Pâtisserie,"4/25/2022, 12:40 AM UTC",
Takuma Saio,Yu-Gi-Oh! GX,"4/25/2022, 12:50 AM UTC",
IF,Hyperdimension Neptunia,"4/25/2022, 1:00 AM UTC",
White Heart,Hyperdimension Neptunia,"4/25/2022, 1:10 AM UTC",
Imu Rifuta,The Disastrous Life of Saiki K. 2nd Season,"4/25/2022, 1:30 AM UTC",
Ryota Miyagi,Slam Dunk,"4/25/2022, 1:40 AM UTC",
Kyouya Saibara,Place to Place,"4/25/2022, 1:50 AM UTC",
Chisato Mera,The Disastrous Life of Saiki K.,"4/25/2022, 2:00 AM UTC",
Michiru Kagemori,Brand New Animal,"4/25/2022, 2:10 AM UTC",
Realgar Wine,Food Fantasy,"4/25/2022, 2:20 AM UTC",
Chinatsu Nishio,Tsuki ga Kirei,"4/25/2022, 2:30 AM UTC",
Mikage Asagiri,DREAM!ing,"4/25/2022, 2:40 AM UTC",
Harumi Takeda,My Senpai is Annoying,"4/25/2022, 2:43 AM UTC",
Natsumi Kurobe,My Senpai is Annoying,"4/25/2022, 2:43 AM UTC",
Souta Kazama,My Senpai is Annoying,"4/25/2022, 2:43 AM UTC",
Touko Sakurai,My Senpai is Annoying,"4/25/2022, 2:43 AM UTC",
Gem Horner,Brand New Animal,"4/25/2022, 2:50 AM UTC",
Guri,Love Tyrant,"4/25/2022, 3:00 AM UTC",
Megumi Kitaniji,The World Ends with You,"4/25/2022, 3:20 AM UTC",
Tomoe Karijuku,Saki: The Nationals,"4/25/2022, 3:40 AM UTC",
Rumiko Chie,When They Cry: Higurashi,"4/25/2022, 3:50 AM UTC",
Cancer Cell,Cells at Work!,"4/25/2022, 4:00 AM UTC",
LICO,BLACKSTAR -Theater Starless-,"4/25/2022, 4:10 AM UTC",
Lithia Spodumene,Tales of Hearts,"4/25/2022, 4:20 AM UTC",
Nozel Silva,Black Clover,"4/25/2022, 4:30 AM UTC",
Jessie,Pokémon,"4/25/2022, 4:40 AM UTC",
Mystras Leoxses,Magi: Adventure of Sinbad,"4/25/2022, 4:50 AM UTC",
Qrow Branwen,RWBY,"4/25/2022, 5:00 AM UTC",
Issei Ryuudou,Fate/stay night,"4/25/2022, 5:10 AM UTC",
Ilsa,Granblue Fantasy,"4/25/2022, 5:20 AM UTC",
Hell,takt op.Destiny,"4/25/2022, 5:30 AM UTC",
Siegfried Kaslana,Honkai Impact 3rd,"4/25/2022, 5:40 AM UTC",
Fuuka Kikuchi,Bottom-tier Character Tomozaki,"4/25/2022, 6:00 AM UTC",
Cinnamon,NEKOPARA,"4/25/2022, 6:10 AM UTC",
Ayumi Futaba,Bakuten!!,"4/25/2022, 6:20 AM UTC",
Bepo,One Piece,"4/25/2022, 6:30 AM UTC",
Zeke,Attack on Titan 2nd Season,"4/25/2022, 6:40 AM UTC",
Yurina Okinaka,Kanojo ga Yatsu ni Idakareta Hi,"4/25/2022, 6:50 AM UTC",
Iruma Suzuki,"Welcome to Demon School, Iruma-kun","4/25/2022, 7:00 AM UTC",
Benippo,Tsuki ga Kirei,"4/25/2022, 7:20 AM UTC",
Andrew Hanbridge,Little Witch Academia TV,"4/25/2022, 7:30 AM UTC",
Fumikage Tokoyami,My Hero Academia,"4/25/2022, 7:40 AM UTC",
Kaede Fujieda,Sakura Wars: Gouka Kenran,"4/25/2022, 7:50 AM UTC",
Alice Synthesis Thirty,Sword Art Online: Alicization,"4/25/2022, 8:10 AM UTC",
Boyd,Fire Emblem: Path of Radiance,"4/25/2022, 8:20 AM UTC",
Mimlemel,Granblue Fantasy,"4/25/2022, 8:30 AM UTC",
Cinnabar,Land of the Lustrous PV,"4/25/2022, 8:50 AM UTC",
Sadayo Kawakami,Persona 5 the Animation,"4/25/2022, 9:00 AM UTC",
Hamil,Tears to Tiara II: Heir of the Overlord,"4/25/2022, 9:10 AM UTC",
Takumi Fujiwara,Initial D,"4/25/2022, 9:20 AM UTC",
Hitohito Tadano,"Komi-san wa, Komyushou desu.","4/25/2022, 9:30 AM UTC",
Fuuma Kotarou,Fate/Grand Order,"4/25/2022, 9:40 AM UTC",
Tomoe Koga,Rascal Does Not Dream of Bunny Girl Senpai,"4/25/2022, 9:50 AM UTC",
Lenny,takt op.Destiny,"4/25/2022, 10:10 AM UTC",
Star Platinum,JoJo's Bizarre Adventure: Stardust Crusaders,"4/25/2022, 10:30 AM UTC",
Nunnally Lamperouge,Code Geass: Lelouch of the Rebellion,"4/25/2022, 10:40 AM UTC",
Xuanzang Sanzang,Fate/Grand Order,"4/25/2022, 10:50 AM UTC",
Seri Koyuki,A Destructive God Sits Next to Me,"4/25/2022, 11:00 AM UTC",
Venti,Genshin Impact,"4/25/2022, 11:10 AM UTC",
Shikon Jewel,InuYasha,"4/25/2022, 11:20 AM UTC",
SINJU,BLACKSTAR -Theater Starless-,"4/25/2022, 11:30 AM UTC",
Kingprotea,Fate/Grand Order,"4/25/2022, 11:40 AM UTC",
Kjelle,Fire Emblem Awakening,"4/25/2022, 11:50 AM UTC",
Akito Sohma,Fruits Basket,"4/25/2022, 12:00 PM UTC",
Keaton,Fire Emblem Fates,"4/25/2022, 12:10 PM UTC",
Chitoge Kirisaki,Nisekoi,"4/25/2022, 12:20 PM UTC",
Akari Kuzehashi,Hello!! Kiniro Mosaic,"4/25/2022, 12:40 PM UTC",
Riki Takatou,Slam Dunk,"4/25/2022, 12:50 PM UTC",
Setsuna Yuki,Love Live! Nijigasaki High School Idol Club,"4/25/2022, 1:00 PM UTC",
Mogzo,Grimgar of Fantasy and Ash,"4/25/2022, 1:20 PM UTC",
Uzuki Yashiro,The World Ends with You,"4/25/2022, 1:30 PM UTC",
Fuuka Miyazawa,The aquatope on white sand,"4/25/2022, 1:40 PM UTC",
Taiga Kagami,Kuroko's Basketball,"4/25/2022, 1:50 PM UTC",
Kirika Akatsuki,Symphogear G,"4/25/2022, 2:00 PM UTC",
Blue-Eyes Toon Dragon,Yu-Gi-Oh! Duel Monsters,"4/25/2022, 2:10 PM UTC",
Tagiru Akashi,Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi,"4/25/2022, 2:20 PM UTC",
Shuuko Murao,Blue Spring Ride,"4/25/2022, 2:30 PM UTC",
Franz d'Epinay,Gankutsuou: The Count of Monte Cristo,"4/25/2022, 2:40 PM UTC",
Balkak,Magi: The Labyrinth of Magic,"4/25/2022, 3:00 PM UTC",
Oscar François de Jarjayes,The Rose of Versailles,"4/25/2022, 3:10 PM UTC",
Kamisato Ayaka,Genshin Impact,"4/25/2022, 3:20 PM UTC",
Ango Sakaguchi,Bungou Stray Dogs 2nd Season,"4/25/2022, 3:40 PM UTC",
Rider,Fate/stay night,"4/25/2022, 3:50 PM UTC",
Futaba Yoshioka,Blue Spring Ride,"4/25/2022, 4:00 PM UTC",
Anise Tatlin,Tales of the Abyss,"4/25/2022, 4:10 PM UTC",
Murasaki Shion,Hololive: Holo no Graffiti,"4/25/2022, 4:20 PM UTC",
Fujita,Dorohedoro,"4/25/2022, 4:30 PM UTC",
Anthuria,Granblue Fantasy,"4/25/2022, 4:40 PM UTC",
Ronove,Umineko: When They Cry,"4/25/2022, 4:50 PM UTC",
Touga Kiryuu,Revolutionary Girl Utena,"4/25/2022, 5:00 PM UTC",
Michiru Ogawa,Magical Girl Ore,"4/25/2022, 5:20 PM UTC",
Trey Clover,Twisted Wonderland,"4/25/2022, 5:30 PM UTC",
Ren Munakata,TsukiPro the Animation,"4/25/2022, 5:40 PM UTC",
Nero Claudius (Bride),Fate/Grand Order,"4/25/2022, 5:50 PM UTC",
Hotaru Tachibana,Aoharu × Machinegun,"4/25/2022, 6:00 PM UTC",
Seryu Ubiquitous,Akame ga Kill!,"4/25/2022, 6:10 PM UTC",
Erina Shindou,Gonna be the Twin-Tail!!,"4/25/2022, 6:20 PM UTC",
Takane Shijou,The iDOLM@STER,"4/25/2022, 6:40 PM UTC",
Sakura,Tsubasa Reservoir Chronicle,"4/25/2022, 6:50 PM UTC",
Sylveon,Pokémon XY,"4/25/2022, 7:00 PM UTC",
Gladion,Pokémon Sun & Moon,"4/25/2022, 7:30 PM UTC",
Naraku,Senran Kagura 2: Deep Crimson,"4/25/2022, 7:40 PM UTC",
Arisa Ichigaya,BanG Dream!,"4/25/2022, 7:50 PM UTC",
Female Corrin,Fire Emblem Fates,"4/25/2022, 8:00 PM UTC",
Sonata Shinonome,AKB0048,"4/25/2022, 8:10 PM UTC",
Reiji,Gundam Build Fighters,"4/25/2022, 8:20 PM UTC",
Natsuiro Matsuri,Hololive: Holo no Graffiti,"4/25/2022, 8:30 PM UTC",
Gol D. Roger,One Piece,"4/25/2022, 8:40 PM UTC",
Jotaro Kujo,JoJo's Bizarre Adventure: Stardust Crusaders,"4/25/2022, 8:50 PM UTC",
Eustass Kid,One Piece,"4/25/2022, 9:00 PM UTC",
Hajime Shino,Ensemble Stars!,"4/25/2022, 9:10 PM UTC",
Ami Kawashima,Toradora!,"4/25/2022, 9:20 PM UTC",
Tomoe Gozen,Fate/Grand Order,"4/25/2022, 9:30 PM UTC",
Tsubaki's Short-Haired Minion,BONJOUR Sweet Love Pâtisserie,"4/25/2022, 9:50 PM UTC",
Alexander Yamato,King of Prism by Pretty Rhythm,"4/25/2022, 10:00 PM UTC",
Krauss Ushiromiya,Umineko: When They Cry,"4/25/2022, 10:20 PM UTC",
Aika,Ane wa Yanmama Junyuu-chuu,"4/25/2022, 10:30 PM UTC",
Hardgore Alice,Magical Girl Raising Project,"4/25/2022, 10:40 PM UTC",
Akari Akaza,Yuru Yuri,"4/25/2022, 10:50 PM UTC",
Iseria Arisphodel,Epic Seven,"4/25/2022, 11:00 PM UTC",
Victor Nikiforov,Yuri!!! on Ice,"4/25/2022, 11:10 PM UTC",
Shuji Hanma,Tokyo Revengers,"4/25/2022, 11:20 PM UTC",
Chika's Mother,Love Live! Sunshine!!,"4/25/2022, 11:30 PM UTC",
Kouyou Ozaki,Bungou Stray Dogs 2nd Season,"4/25/2022, 11:40 PM UTC",
Mio Kusakai,Keijo!!!!!!!!,"4/26/2022, 12:00 AM UTC",
Yuisis,Granblue Fantasy,"4/26/2022, 12:10 AM UTC",
Kaname Kenjou,Strawberry Panic,"4/26/2022, 12:20 AM UTC",
Kurou Sakuragawa,In/Spectre,"4/26/2022, 12:30 AM UTC",
Hachiman Hikigaya,My Teen Romantic Comedy SNAFU,"4/26/2022, 12:40 AM UTC",
Zenon Futoyama,Love Stage!!,"4/26/2022, 12:50 AM UTC",
Urumi Kanzaki,Great Teacher Onizuka,"4/26/2022, 1:00 AM UTC",
Mistress 9,Sailor Moon S,"4/26/2022, 1:10 AM UTC",
King Chaos,Tsubasa Reservoir Chronicle 2nd Season,"4/26/2022, 1:20 AM UTC",
Saber,Fate/stay night,"4/26/2022, 1:30 AM UTC",
Alexa,The Animatrix,"4/26/2022, 1:40 AM UTC",
Caspar von Bergliez,Fire Emblem: Three Houses,"4/26/2022, 1:50 AM UTC",
Anna,Little Witch Academia TV,"4/26/2022, 2:20 AM UTC",
Shinobu Sengoku,Ensemble Stars!,"4/26/2022, 2:30 AM UTC",
Hilda Rhambling,Tales of Rebirth,"4/26/2022, 2:40 AM UTC",
Hanyuu,When They Cry: Kai,"4/26/2022, 3:00 AM UTC",
Sanae Furukawa,Clannad,"4/26/2022, 3:10 AM UTC",
André Grandier,The Rose of Versailles,"4/26/2022, 3:20 AM UTC",
Konoha Suetsugi,Engaged to the Unidentified,"4/26/2022, 3:40 AM UTC",
Shirley Fenette,Code Geass: Lelouch of the Rebellion,"4/26/2022, 3:50 AM UTC",
Tomomi Masaoka,Psycho-Pass,"4/26/2022, 4:00 AM UTC",
Takara Utashiro,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,"4/26/2022, 4:10 AM UTC",
Hermes,Record of Ragnarok,"4/26/2022, 4:30 AM UTC",
Coquelicot Blanche,#Compass,"4/26/2022, 4:40 AM UTC",
Shougo Makishima,Psycho-Pass,"4/26/2022, 4:50 AM UTC",
Risa Nakayama,Opera Girl!,"4/26/2022, 5:00 AM UTC",
Yasuhiro Muto,Tokyo Revengers,"4/26/2022, 5:10 AM UTC",
Caius Qualls,Tales of the Tempest,"4/26/2022, 5:20 AM UTC",
Miharu Mitsuka,Gonna be the Twin-Tail!!,"4/26/2022, 5:30 AM UTC",
Yukichi Fukuzawa,Bungou Stray Dogs,"4/26/2022, 5:40 AM UTC",
Ichigo Hoshimiya,Aikatsu!,"4/26/2022, 5:50 AM UTC",
Mea Kurosaki,To Love Ru: Darkness,"4/26/2022, 6:00 AM UTC",
Talisman,Psycho-Pass,"4/26/2022, 6:10 AM UTC",
Goredolf Musik,Fate/Grand Order,"4/26/2022, 6:20 AM UTC",
Umiko Ahagon,New Game!,"4/26/2022, 6:30 AM UTC",
